-180.0 0.32417 0.29673
-170.0 0.03006 0.03185
-160.0 0.13023 0.21990
-150.0 0.64519 0.77715
-140.0 1.50000 1.64207
-130.0 2.60054 2.72957
-120.0 3.84632 3.95244
-110.0 5.14098 5.22444
-100.0 6.39684 6.46135
-80.0 3.11731 3.05652
-70.0 2.11853 2.05787
-60.0 1.25149 1.18596
-50.0 0.58754 0.52916
-40.0 0.16981 0.12352
-30.0 0.01451 -0.03715
-20.0 0.10641 0.02627
-10.0 0.36803 0.30368
0.0 0.55101 0.85807
10.0 0.38831 0.23890
20.0 0.11550 -0.02527
30.0 0.00000 -0.06809
40.0 0.13002 0.12310
50.0 0.52504 0.56449
60.0 1.17154 1.25982
70.0 2.02827 2.16221
80.0 3.02535 3.18635
100.0 6.53413 6.33035
110.0 5.28302 5.10335
120.0 3.98143 3.84279
130.0 2.71803 2.63432
140.0 1.59074 1.56466
150.0 0.70205 0.71601
160.0 0.14853 0.17939
170.0 0.00761 0.02505
180.0 0.32418 0.29589
