-180.0 0.00000 -0.45738
-170.0 0.07383 -0.98438
-160.0 0.47460 -0.72898
-150.0 1.30788 0.05983
-140.0 2.58960 1.35581
-130.0 4.22725 2.97448
-120.0 6.00739 4.62581
-110.0 7.71815 6.09701
-100.0 9.29648 7.24219
-80.0 8.88174 10.56682
-70.0 6.99302 8.53937
-60.0 5.30195 6.54156
-50.0 3.84342 4.84994
-40.0 2.65881 3.66499
-30.0 1.78115 3.04312
-20.0 1.19847 2.80642
-10.0 0.83162 1.76075
-0.0 0.57948 0.65462
10.0 0.45533 -0.06802
20.0 0.58214 -0.37350
30.0 1.05235 -0.25030
40.0 1.89418 0.41674
50.0 3.09460 1.67593
60.0 4.61296 3.45104
70.0 6.37819 5.55237
80.0 8.27783 7.73229
100.0 8.38554 8.98663
110.0 6.64157 7.89286
120.0 4.99366 6.53152
130.0 3.50330 5.05659
140.0 2.23515 3.68365
150.0 1.23458 2.60590
160.0 0.53692 1.90539
170.0 0.14900 0.83709
180.0 0.00001 -0.45600
