-180.0 0.75195 0.30095
-170.0 0.97376 0.44358
-160.0 1.19131 0.81525
-150.0 1.47660 1.36786
-140.0 1.93877 2.06205
-130.0 2.63176 2.69585
-120.0 3.47968 3.20420
-110.0 4.30708 3.68284
-100.0 4.89272 4.32495
-80.0 4.67445 5.64060
-70.0 3.92102 4.22767
-60.0 2.95961 3.03834
-50.0 1.96899 2.00149
-40.0 1.09942 1.11716
-30.0 0.46030 0.47520
-20.0 0.10430 0.23822
-10.0 0.00000 0.52866
-0.0 0.01938 0.94534
10.0 0.05722 0.04668
20.0 0.19196 -0.25918
30.0 0.54364 -0.00402
40.0 1.14741 0.68167
50.0 1.96203 1.63345
60.0 2.89095 2.73240
70.0 3.79334 3.98801
80.0 4.49447 5.46907
100.0 4.61588 3.83491
110.0 3.95743 3.34125
120.0 3.03011 3.02956
130.0 2.05846 2.67146
140.0 1.23013 2.11636
150.0 0.67806 1.40353
160.0 0.46544 0.76756
170.0 0.54032 0.39512
180.0 0.75196 0.30184
