 -180 0.00000E+00
 -170 7.81300E-01
 -160 2.24927E+00
 -150 4.36069E+00
 -140 7.09910E+00
 -130 1.02948E+01
 -120 1.35825E+01
 -110 1.64550E+01
 -100 1.84665E+01
  -90 1.93474E+01
  -80 1.90102E+01
  -70 1.75406E+01
  -60 1.51832E+01
  -50 1.23236E+01
  -40 9.47803E+00
  -30 7.32356E+00
  -20 6.93636E+00
  -10 1.09702E+01
    0 2.44833E+01
   10 3.89574E+01
   20 2.99959E+01
   30 1.53423E+01
   40 1.12732E+01
   50 1.25448E+01
   60 1.49996E+01
   70 1.72231E+01
   80 1.86355E+01
   90 1.89424E+01
  100 1.80427E+01
  110 1.60128E+01
  120 1.30945E+01
  130 9.66833E+00
  140 6.20885E+00
  150 3.21242E+00
  160 1.08968E+00
  170 3.96183E-02
  180 2.27374E-13
