 -180 8.69822E-01
 -170 1.67269E+00
 -160 2.69211E+00
 -150 3.78400E+00
 -140 4.79693E+00
 -130 5.59155E+00
 -120 6.05847E+00
 -110 6.13224E+00
 -100 5.79986E+00
  -90 5.10259E+00
  -80 4.13098E+00
  -70 3.01348E+00
  -60 1.90002E+00
  -50 9.42691E-01
  -40 2.76072E-01
  -30 0.00000E+00
  -20 1.67099E-01
  -10 7.76567E-01
    0 1.77471E+00
   10 3.06175E+00
   20 4.50375E+00
   30 5.94813E+00
   40 7.24089E+00
   50 8.24390E+00
   60 8.85018E+00
   70 8.99578E+00
   80 8.66685E+00
   90 7.90120E+00
  100 6.78411E+00
  110 5.43881E+00
  120 4.01272E+00
  130 2.66068E+00
  140 1.52733E+00
  150 7.30290E-01
  160 3.46289E-01
  170 4.01839E-01
  180 8.69822E-01
