 -180 4.90780E+01
 -170 6.24677E+01
 -160 6.02064E+01
 -150 2.42031E+01
 -140 5.32518E+00
 -130 1.94003E+00
 -120 2.15868E+00
 -110 2.83333E+00
 -100 3.27665E+00
  -90 3.29168E+00
  -80 2.84129E+00
  -70 1.99284E+00
  -60 9.24911E-01
  -50 2.69550E-04
  -40 0.00000E+00
  -30 2.60463E+00
  -20 1.03171E+01
  -10 2.29855E+01
    0 3.56813E+01
   10 5.23190E+01
   20 5.68626E+01
   30 2.48286E+01
   40 5.61530E+00
   50 1.94563E+00
   60 2.07799E+00
   70 2.71426E+00
   80 3.14244E+00
   90 3.16029E+00
  100 2.73223E+00
  110 1.93861E+00
  120 9.94848E-01
  130 3.62971E-01
  140 1.11035E+00
  150 5.66400E+00
  160 1.75586E+01
  170 3.53152E+01
  180 4.90780E+01
