 -180 0.00000E+00
 -170 8.26385E-03
 -160 6.67422E-01
 -150 1.92305E+00
 -140 3.64214E+00
 -130 5.61316E+00
 -120 7.58742E+00
 -110 9.06305E+00
 -100 9.91424E+00
  -90 1.04734E+01
  -80 1.06744E+01
  -70 1.03845E+01
  -60 9.62355E+00
  -50 8.51115E+00
  -40 7.21690E+00
  -30 5.92871E+00
  -20 4.82642E+00
  -10 4.05901E+00
    0 3.72645E+00
   10 3.86614E+00
   20 4.44493E+00
   30 5.36151E+00
   40 6.46964E+00
   50 7.62592E+00
   60 8.72500E+00
   70 9.67791E+00
   80 1.03699E+01
   90 1.06664E+01
  100 1.04617E+01
  110 9.72086E+00
  120 8.49240E+00
  130 6.89891E+00
  140 5.11545E+00
  150 3.34361E+00
  160 1.78569E+00
  170 6.23017E-01
  180 3.97904E-13
