E_Scan -1.3405747965200E+03 -4.2820102111640E+02  Phi  -180.0
    5.022495    -1.647773    -0.209264
   -0.938466     1.085443    -0.162956
   -1.123819    -1.889497    -0.663116
   -2.493976    -1.470718    -0.215307
   -4.536473    -2.015183     0.391322
   -2.948854    -0.208605    -0.023177
   -2.266903     1.083537    -0.140549
   -2.989274     2.274207    -0.195498
   -2.243478     3.433623    -0.250585
   -0.333647     2.261809    -0.212421
    1.978386     1.288004    -0.183742
    3.101562     1.411922     0.616483
    4.112892     0.468882     0.595506
    4.031956    -0.662438    -0.221147
    6.307461    -1.309619     0.362742
    5.050317    -2.596087    -1.301339
    2.900615    -0.767946    -1.038076
    1.906085     0.191485    -1.027260
   -4.635067    -0.288310     0.490009
   -0.845929    -1.383917    -1.578450
   -1.125799    -2.957639    -0.831983
   -0.378114    -1.641828     0.080167
   -6.302973    -2.461474     1.280939
   -5.396053    -3.769370     0.753718
    1.366365     3.260167    -0.175833
   -4.060258     2.303833    -0.206610
   -2.731439     4.392661    -0.293086
    3.192035     2.259477     1.273678
    4.958044     0.625611     1.235015
    6.963538    -2.165126     0.285370
    6.211547    -1.076693     1.415776
    6.786739    -0.464613    -0.132901
    5.868160    -3.285884    -1.147396
    5.179885    -2.123507    -2.275663
    4.140165    -3.181885    -1.325475
    2.786420    -1.595866    -1.708534
    1.067654     0.084545    -1.685633
E_Scan -1.3405765969900E+03 -4.2949096167889E+02  Phi  -130.0
Coordinate
   -3.298254    -2.482260     0.112609
   -5.502003    -2.844081     0.763526
   -0.948434     3.484069    -0.342296
    1.020766     2.376635    -0.277151
    4.934774    -1.682104    -0.235835
   -0.920742     1.119851    -0.181388
   -1.040313    -1.854736    -0.603129
   -2.418090    -1.458855    -0.157846
   -4.441457    -2.036913     0.481248
   -2.902560    -0.203971     0.007284
   -2.247756     1.097660    -0.146856
   -2.989354     2.275566    -0.225619
   -2.261514     3.443693    -0.320889
   -0.334286     2.302671    -0.274325
    1.963649     1.321932    -0.257925
    2.997023     1.344342     0.661891
    3.987588     0.378584     0.659663
    3.969478    -0.674557    -0.259536
    6.161133    -1.432056     0.489909
    5.048272    -2.545981    -1.390648
    2.925948    -0.680171    -1.193690
    1.955637     0.302880    -1.196395
   -4.581521    -0.310582     0.537811
   -0.742635    -1.305498    -1.485047
   -1.036710    -2.914761    -0.818062
   -0.309005    -1.642060     0.165981
   -6.189040    -2.502575     1.397898
   -5.255227    -3.801371     0.895858
    1.367929     3.308448    -0.306381
   -4.060824     2.288619    -0.225284
   -2.764538     4.393861    -0.383319
    3.032359     2.129299     1.397027
    4.764841     0.453788     1.393123
    6.806258    -2.294440     0.399117
    5.963562    -1.292114     1.545270
    6.702756    -0.559293     0.123965
    5.832418    -3.268482    -1.213630
    5.282067    -2.005234    -2.308316
    4.132396    -3.101793    -1.546830
    2.865788    -1.445121    -1.941378
    1.183773     0.277222    -1.941405
E_Scan -1.3405770080700E+03 -4.2862068966860E+02  Phi  -120.0
Coordinate
   -3.206378    -2.481998     0.197222
   -5.395097    -2.874395     0.880645
   -0.964723     3.508291    -0.422543
    1.019520     2.418949    -0.366382
    4.856754    -1.711016    -0.263500
   -0.903202     1.150481    -0.195845
   -0.968560    -1.824627    -0.554257
   -2.349865    -1.446779    -0.104149
   -4.353936    -2.052157     0.570010
   -2.858149    -0.199026     0.042322
   -2.228481     1.110062    -0.146243
   -2.987825     2.275409    -0.244655
   -2.277189     3.450230    -0.379583
   -0.334297     2.337480    -0.332074
    1.952309     1.352430    -0.333775
    2.882891     1.273690     0.686523
    3.852771     0.287279     0.704175
    3.913971    -0.684795    -0.299546
    6.005998    -1.552143     0.601162
    5.066945    -2.491131    -1.463492
    2.972309    -0.590455    -1.332848
    2.022393     0.411960    -1.348377
   -4.528508    -0.327853     0.593922
   -0.656833    -1.237759    -1.405436
   -0.963177    -2.875430    -0.811321
   -0.246517    -1.647966     0.233525
   -6.081476    -2.533420     1.516022
   -5.127290    -3.823444     1.030337
    1.366986     3.348386    -0.438957
   -4.059360     2.273783    -0.230651
   -2.794239     4.391616    -0.458750
    2.852602     1.995308     1.483784
    4.550723     0.281103     1.516900
    6.645475    -2.417454     0.499757
    5.704060    -1.499192     1.639676
    6.593390    -0.663423     0.369322
    5.817422    -3.243601    -1.266869
    5.398411    -1.890821    -2.311269
    4.160932    -3.011191    -1.747879
    2.977436    -1.291056    -2.143280
    1.325957     0.464787    -2.164624
E_Scan -1.3405772684500E+03 -4.2781348922562E+02  Phi  -110.0
Coordinate
   -3.125259    -2.478338     0.280260
   -5.297622    -2.894424     1.000992
   -0.979395     3.526300    -0.496840
    1.017406     2.452290    -0.453189
    4.788761    -1.736112    -0.294238
   -0.887562     1.176373    -0.210252
   -0.908457    -1.798524    -0.512598
   -2.290128    -1.434645    -0.051648
   -4.274563    -2.060884     0.661174
   -2.817734    -0.193253     0.080241
   -2.210739     1.120907    -0.142376
   -2.985601     2.274823    -0.256525
   -2.290658     3.453920    -0.430233
   -0.334664     2.365305    -0.387972
    1.942691     1.377188    -0.409029
    2.757748     1.195657     0.693641
    3.707531     0.190867     0.730339
    3.865603    -0.694261    -0.341988
    5.841393    -1.673531     0.696772
    5.109743    -2.427098    -1.523957
    3.040720    -0.496693    -1.457454
    2.106730     0.520618    -1.484793
   -4.477953    -0.339322     0.656860
   -0.598469    -1.196311    -1.353139
   -0.898785    -2.845566    -0.784929
   -0.186395    -1.632758     0.278132
   -5.980786    -2.553266     1.639705
   -5.011917    -3.836033     1.163909
    1.363290     3.377922    -0.569884
   -4.056777     2.261068    -0.226575
   -2.820036     4.387163    -0.523273
    2.650836     1.850880     1.539833
    4.314582     0.101538     1.608507
    6.480496    -2.538014     0.586942
    5.431983    -1.705101     1.698739
    6.457532    -0.778831     0.606370
    5.826884    -3.207377    -1.312174
    5.533071    -1.770950    -2.284916
    4.230678    -2.905332    -1.937222
    3.123917    -1.128422    -2.318593
    1.496055     0.652339    -2.359622
E_Scan -1.3405774627600E+03 -4.2726557286910E+02  Phi  -100.0
Coordinate
   -3.060758    -2.471245     0.366341
   -5.216743    -2.900576     1.127521
   -0.992153     3.536412    -0.567393
    1.013792     2.473640    -0.537159
    4.736108    -1.756361    -0.330278
   -0.875901     1.195268    -0.225946
   -0.864317    -1.780071    -0.472139
   -2.243640    -1.423748     0.002331
   -4.209374    -2.060961     0.756685
   -2.785225    -0.186831     0.119631
   -2.196888     1.129235    -0.137780
   -2.983793     2.273627    -0.265627
   -2.301724     3.454199    -0.477005
   -0.336250     2.383529    -0.443063
    1.934037     1.393158    -0.482858
    2.622848     1.106684     0.682415
    3.555072     0.087216     0.735529
    3.827840    -0.702988    -0.387910
    5.672986    -1.795491     0.771999
    5.182865    -2.349074    -1.571893
    3.132962    -0.398197    -1.565591
    2.208541     0.628323    -1.603572
   -4.434643    -0.342291     0.723666
   -0.562622    -1.175165    -1.313541
   -0.852065    -2.826999    -0.745090
   -0.136836    -1.613190     0.313750
   -5.894351    -2.555772     1.770187
   -4.916565    -3.835216     1.303990
    1.356645     3.393871    -0.697733
   -4.054266     2.251438    -0.218831
   -2.840770     4.380601    -0.582231
    2.428030     1.690497     1.564215
    4.061055    -0.087513     1.663493
