 -180 3.41061E-13
 -170 5.00119E-03
 -160 1.25875E-01
 -150 3.02521E-01
 -140 5.17191E-01
 -130 8.13144E-01
 -120 1.12600E+00
 -110 1.32129E+00
 -100 1.31143E+00
  -90 1.10345E+00
  -80 7.94060E-01
  -70 5.10614E-01
  -60 3.00883E-01
  -50 1.35691E-01
  -40 5.07136E-02
  -30 7.23425E-02
  -20 1.23005E-01
  -10 1.47871E-01
    0 1.40763E-01
   10 1.63631E-01
   20 2.70416E-01
   30 4.01966E-01
   40 5.65529E-01
   50 8.21053E-01
   60 1.10237E+00
   70 1.27177E+00
   80 1.24297E+00
   90 1.02748E+00
  100 7.27438E-01
  110 4.68487E-01
  120 2.79630E-01
  130 1.11801E-01
  140 4.85044E-03
  150 1.88462E-03
  160 3.36286E-02
  170 3.63674E-02
  180 0.00000E+00
