   0  1 0.000000000000000 0.000000000000000
   0  2 0.000000000000000 0.000000000000000
   0  3 0.000000000000000 0.000000000000000
   0  4 0.000000000000000 0.000000000000000
   0  5 0.000000000000000 0.000000000000000
   0  6 0.000000000000000 0.000000000000000
   1  1 0.000000000000000 0.000000000000000
   1  2 0.000000000000000 0.000000000000000
   1  3 0.000000000000000 0.000000000000000
   1  4 0.000000000000000 0.000000000000000
   1  5 0.000000000000000 0.000000000000000
   1  6 0.000000000000000 0.000000000000000
   2  1 0.000000000000000 0.000000000000000
   2  2 0.000000000000000 0.000000000000000
   2  3 0.000000000000000 0.000000000000000
   2  4 0.000000000000000 0.000000000000000
   2  5 0.000000000000000 0.000000000000000
   2  6 0.000000000000000 0.000000000000000
   3  1 0.000000000000000 0.000000000000000
   3  2 4.000000000000000 3.141592653589793
   3  3 0.000000000000000 0.000000000000000
   3  4 0.000000000000000 0.000000000000000
   3  5 0.000000000000000 0.000000000000000
   3  6 0.000000000000000 0.000000000000000
   4  1 0.000000000000000 0.000000000000000
   4  2 4.000000000000000 3.141592653589793
   4  3 0.000000000000000 0.000000000000000
   4  4 0.000000000000000 0.000000000000000
   4  5 0.000000000000000 0.000000000000000
   4  6 0.000000000000000 0.000000000000000
   5  1 0.000000000000000 0.000000000000000
   5  2 1.050000000000000 3.141592653589793
   5  3 0.000000000000000 0.000000000000000
   5  4 0.000000000000000 0.000000000000000
   5  5 0.000000000000000 0.000000000000000
   5  6 0.000000000000000 0.000000000000000
   6  1 0.000000000000000 0.000000000000000
   6  2 1.050000000000000 3.141592653589793
   6  3 0.000000000000000 0.000000000000000
   6  4 0.000000000000000 0.000000000000000
   6  5 0.000000000000000 0.000000000000000
   6  6 0.000000000000000 0.000000000000000
   7  1 0.000000000000000 0.000000000000000
   7  2 1.100000000000000 3.141592653589793
   7  3 0.000000000000000 0.000000000000000
   7  4 0.000000000000000 0.000000000000000
   7  5 0.000000000000000 0.000000000000000
   7  6 0.000000000000000 0.000000000000000
   8  1 0.000000000000000 0.000000000000000
   8  2 4.750000000000000 3.141592653589793
   8  3 0.000000000000000 0.000000000000000
   8  4 0.000000000000000 0.000000000000000
   8  5 0.000000000000000 0.000000000000000
   8  6 0.000000000000000 0.000000000000000
   9  1 0.000000000000000 0.000000000000000
   9  2 1.100000000000000 3.141592653589793
   9  3 0.000000000000000 0.000000000000000
   9  4 0.000000000000000 0.000000000000000
   9  5 0.000000000000000 0.000000000000000
   9  6 0.000000000000000 0.000000000000000
  10  1 0.000000000000000 0.000000000000000
  10  2 3.625000000000000 3.141592653589793
  10  3 0.000000000000000 0.000000000000000
  10  4 0.000000000000000 0.000000000000000
  10  5 0.000000000000000 0.000000000000000
  10  6 0.000000000000000 0.000000000000000
  11  1 0.000000000000000 0.000000000000000
  11  2 3.625000000000000 3.141592653589793
  11  3 0.000000000000000 0.000000000000000
  11  4 0.000000000000000 0.000000000000000
  11  5 0.000000000000000 0.000000000000000
  11  6 0.000000000000000 0.000000000000000
  12  1 2.302677921618000 3.141592653589793
  12  2 4.094852891391000 3.141592653589793
  12  3 1.092155305085000 0.000000000000000
  12  4 0.387191968640000 0.000000000000000
  12  5 0.000000000000000 0.000000000000000
  12  6 0.042699625071000 0.000000000000000
  13  1 0.000000000000000 0.000000000000000
  13  2 1.050000000000000 3.141592653589793
  13  3 0.000000000000000 0.000000000000000
  13  4 0.000000000000000 0.000000000000000
  13  5 0.000000000000000 0.000000000000000
  13  6 0.000000000000000 0.000000000000000
  14  1 0.000000000000000 0.000000000000000
  14  2 4.800000000000000 3.141592653589793
  14  3 0.000000000000000 0.000000000000000
  14  4 0.000000000000000 0.000000000000000
  14  5 0.000000000000000 0.000000000000000
  14  6 0.000000000000000 0.000000000000000
  15  1 0.000000000000000 0.000000000000000
  15  2 4.800000000000000 3.141592653589793
  15  3 0.000000000000000 0.000000000000000
  15  4 0.000000000000000 0.000000000000000
  15  5 0.000000000000000 0.000000000000000
  15  6 0.000000000000000 0.000000000000000
  16  1 0.000000000000000 0.000000000000000
  16  2 4.800000000000000 3.141592653589793
  16  3 0.000000000000000 0.000000000000000
  16  4 0.000000000000000 0.000000000000000
  16  5 0.000000000000000 0.000000000000000
  16  6 0.000000000000000 0.000000000000000
  17  1 0.000000000000000 0.000000000000000
  17  2 3.625000000000000 3.141592653589793
  17  3 0.000000000000000 0.000000000000000
  17  4 0.000000000000000 0.000000000000000
  17  5 0.000000000000000 0.000000000000000
  17  6 0.000000000000000 0.000000000000000
  18  1 0.000000000000000 0.000000000000000
  18  2 3.625000000000000 3.141592653589793
  18  3 0.000000000000000 0.000000000000000
  18  4 0.000000000000000 0.000000000000000
  18  5 0.000000000000000 0.000000000000000
  18  6 0.000000000000000 0.000000000000000
  19  1 0.000000000000000 0.000000000000000
  19  2 3.625000000000000 3.141592653589793
  19  3 0.000000000000000 0.000000000000000
  19  4 0.000000000000000 0.000000000000000
  19  5 0.000000000000000 0.000000000000000
  19  6 0.000000000000000 0.000000000000000
  20  1 0.000000000000000 0.000000000000000
  20  2 3.625000000000000 3.141592653589793
  20  3 0.000000000000000 0.000000000000000
  20  4 0.000000000000000 0.000000000000000
  20  5 0.000000000000000 0.000000000000000
  20  6 0.000000000000000 0.000000000000000
  21  1 0.000000000000000 0.000000000000000
  21  2 3.625000000000000 3.141592653589793
  21  3 0.000000000000000 0.000000000000000
  21  4 0.000000000000000 0.000000000000000
  21  5 0.000000000000000 0.000000000000000
  21  6 0.000000000000000 0.000000000000000
  22  1 0.000000000000000 0.000000000000000
  22  2 3.625000000000000 3.141592653589793
  22  3 0.000000000000000 0.000000000000000
  22  4 0.000000000000000 0.000000000000000
  22  5 0.000000000000000 0.000000000000000
  22  6 0.000000000000000 0.000000000000000
  23  1 0.000000000000000 0.000000000000000
  23  2 3.625000000000000 3.141592653589793
  23  3 0.000000000000000 0.000000000000000
  23  4 0.000000000000000 0.000000000000000
  23  5 0.000000000000000 0.000000000000000
  23  6 0.000000000000000 0.000000000000000
