-180.0 0.590493 0.432645 0.478815 0.320967
-170.0 0.180290 0.646994 0.000000 0.466705
-160.0 0.000000 0.532291 0.288115 0.820406
-150.0 0.120551 0.453067 0.865661 1.198177
-140.0 0.361414 0.566021 1.250818 1.455426
-130.0 0.533013 0.749939 1.359360 1.576287
-120.0 0.595858 0.841442 1.397017 1.642601
-110.0 0.607366 0.806271 1.528476 1.727380
-100.0 0.577177 0.678680 1.720859 1.822362
-80.0 0.251286 0.196711 1.871355 1.816780
-70.0 0.080817 -0.027221 1.826413 1.718375
-60.0 0.099065 -0.059394 1.792351 1.633892
-50.0 0.352278 0.216243 1.708152 1.572117
-40.0 0.639464 0.408459 1.690372 1.459367
-30.0 0.644565 0.328614 1.528051 1.212100
-20.0 0.576813 0.270374 1.150326 0.843887
-10.0 0.612863 0.156168 0.953736 0.497041
0.0 0.660291 0.689389 0.324693 0.353791
10.0 0.291867 0.716609 0.072299 0.497041
20.0 0.156589 0.560856 0.439619 0.843887
30.0 0.241409 0.482686 0.970823 1.212100
40.0 0.409776 0.547187 1.321957 1.459367
50.0 0.524322 0.672952 1.423487 1.572117
60.0 0.549046 0.745829 1.437108 1.633892
70.0 0.541804 0.708532 1.551647 1.718375
80.0 0.511138 0.572309 1.755609 1.816780
100.0 0.239709 0.088199 1.973872 1.822362
110.0 0.107254 -0.114607 1.949241 1.727380
120.0 0.117231 -0.130496 1.890328 1.642601
130.0 0.326135 0.142558 1.759864 1.576287
140.0 0.634054 0.407472 1.682008 1.455426
150.0 0.657184 0.279869 1.575492 1.198177
160.0 0.555967 0.217753 1.158620 0.820406
170.0 0.549899 0.112586 0.904017 0.466705
