E_Scan -1.3405774178800E+03 -4.2811338642154E+02  Phi  -180.0
Coordinate
   -3.021579    -2.500895    -0.473206
   -5.218066    -3.081487     0.024869
   -0.976791     3.561243     0.130407
    1.040801     2.527994     0.169249
    4.965104    -1.517097    -0.006443
   -0.839941     1.198995     0.035938
   -0.756775    -1.671382    -0.879986
   -2.177475    -1.411581    -0.471277
   -4.212047    -2.178309    -0.128927
   -2.742605    -0.230880    -0.119555
   -2.161091     1.111321    -0.034681
   -2.957694     2.255671    -0.021563
   -2.286060     3.457974     0.066319
   -0.309307     2.408486     0.105570
    2.000710     1.487443     0.119580
    2.047380     0.489019     1.080288
    3.016886    -0.492788     1.043469
    4.001131    -0.510842     0.045491
    5.181259    -2.319535     1.178130
    6.116516    -1.316794    -0.858315
    3.958964     0.514797    -0.902941
    2.967615     1.480603    -0.868647
   -4.443221    -0.503877     0.259029
   -0.320368    -0.827759    -1.389879
   -0.734464    -2.546961    -1.515928
   -0.146208    -1.869424    -0.005505
   -4.976370    -4.014857    -0.227616
   -6.150229    -2.803155    -0.182736
    1.364776     3.468534     0.171673
   -4.026256     2.220977    -0.093489
   -2.833591     4.385192     0.080885
    1.313640     0.476424     1.864035
    3.002771    -1.241308     1.809885
    5.965958    -3.035700     0.979618
    4.292092    -2.883397     1.430731
    5.470097    -1.727704     2.046969
    6.760562    -2.182004    -0.789449
    6.698600    -0.434671    -0.589590
    5.816916    -1.223938    -1.894708
    4.687829     0.569309    -1.686159
    2.954232     2.244583    -1.626334
E_Scan -1.3405778865600E+03 -4.2841513042583E+02  Phi  -170.0
Coordinate
   -3.016225    -2.493409    -0.530684
   -5.237592    -3.063265    -0.141755
   -0.977925     3.564843     0.139020
    1.037467     2.527650     0.188023
    4.957553    -1.520925     0.000322
   -0.843526     1.204086     0.010899
   -0.757337    -1.656261    -0.949696
   -2.179476    -1.398578    -0.545377
   -4.206888    -2.173974    -0.185110
   -2.746937    -0.219555    -0.192486
   -2.163729     1.119971    -0.080131
   -2.958424     2.265394    -0.061606
   -2.286251     3.465097     0.054697
   -0.311916     2.411414     0.105133
    1.996357     1.486340     0.134796
    2.029238     0.473222     1.080524
    2.997676    -0.509567     1.041023
    3.994485    -0.514035     0.055469
    5.157618    -2.341803     1.174976
    6.119499    -1.309980    -0.834539
    3.965882     0.526001    -0.877672
    2.975699     1.492866    -0.841162
   -4.454402    -0.492323     0.157992
   -0.310238    -0.801308    -1.430031
   -0.736517    -2.512642    -1.611532
   -0.156409    -1.887198    -0.076426
   -4.951932    -4.016880    -0.200847
   -5.980640    -2.887572     0.496749
    1.362829     3.467496     0.208361
   -4.025790     2.234094    -0.151591
   -2.832440     4.392970     0.075683
    1.285497     0.449919     1.854539
    2.972748    -1.269740     1.795616
    5.943818    -3.056026     0.975438
    4.264574    -2.908171     1.407608
    5.436192    -1.763876     2.056453
    6.761670    -2.176926    -0.770276
    6.699278    -0.432599    -0.546083
    5.832635    -1.201850    -1.873059
    4.704596     0.591068    -1.650788
    2.972983     2.268253    -1.587269
E_Scan -1.3405777269400E+03 -4.2831363856676E+02  Phi  -160.0
Coordinate
   -3.016666    -2.494328    -0.548068
   -5.237552    -3.070228    -0.160692
