E_Scan -1.3405779052500E+03 -4.2835653856291E+02  Phi  -180.0
Coordinate
   -2.994045    -2.493828    -0.584868
   -5.205639    -3.087825    -0.175795
   -0.981756     3.561025     0.176996
    1.039196     2.532569     0.168328
    4.957469    -1.517940    -0.010775
   -0.837790     1.204203    -0.003589
   -0.745410    -1.632070    -1.014527
   -2.164628    -1.393451    -0.588144
   -4.182485    -2.189037    -0.219065
   -2.735576    -0.225301    -0.205728
   -2.158655     1.115145    -0.076227
   -2.958756     2.255790    -0.022539
   -2.290748     3.456173     0.109400
   -0.310633     2.412173     0.107275
    1.998407     1.490901     0.118385
    2.046165     0.493911     1.080423
    3.014053    -0.489488     1.043005
    3.995260    -0.510581     0.041990
    5.176599    -2.318699     1.174329
    6.104170    -1.324172    -0.870475
    3.951781     0.513326    -0.908485
    2.962143     1.480727    -0.872857
   -4.435481    -0.517029     0.164608
   -0.320494    -0.772971    -1.508003
   -0.722394    -2.491771    -1.671788
   -0.125314    -1.846146    -0.150582
   -5.949260    -2.914160     0.462839
   -4.908222    -4.038909    -0.217470
    1.362385     3.472087     0.217921
   -4.027203     2.220645    -0.097145
   -2.841132     4.380499     0.158705
    1.314159     0.483467     1.866051
    3.001015    -1.236917     1.810513
    5.960953    -3.034983     0.975020
    4.288123    -2.882338     1.430075
    5.467494    -1.725505     2.041518
    6.746385    -2.190747    -0.801961
    6.690140    -0.442513    -0.608894
    5.798405    -1.234723    -1.905365
    4.678339     0.564958    -1.694022
    2.946922     2.243476    -1.631605
E_Scan -1.3405777876000E+03 -4.2842877684844E+02  Phi  -170.0
Coordinate
   -3.055588    -2.514480    -0.438770
   -5.301465    -3.031990    -0.124207
   -0.967202     3.549771     0.050333
    1.034648     2.508846     0.262809
    5.006547    -1.478861    -0.095846
   -0.847596     1.185304     0.051358
   -0.768880    -1.738989    -0.795792
   -2.198478    -1.435291    -0.458225
   -4.254088    -2.161549    -0.160814
   -2.757314    -0.233743    -0.174637
   -2.163298     1.104558    -0.097232
   -2.947527     2.254685    -0.170827
   -2.271194     3.454712    -0.086301
   -0.311068     2.392097     0.111442
    2.004586     1.482036     0.163892
    2.008452     0.391878     1.020320
    2.990148    -0.575383     0.938814
    4.029400    -0.487553     0.002974
    5.163169    -2.396100     1.012152
    6.206066    -1.180565    -0.846734
    4.029348     0.629174    -0.836876
    3.026954     1.581027    -0.762223
   -4.484112    -0.464221     0.109573
   -0.248643    -0.880404    -1.185044
   -0.748556    -2.550049    -1.513182
   -0.242312    -2.068634     0.094380
   -6.075011    -2.803524     0.459237
   -5.027951    -3.990659    -0.094278
    1.356173     3.449234     0.214873
   -4.009795     2.226274    -0.308425
   -2.809464     4.385839    -0.139929
    1.233133     0.296338     1.756037
    2.941235    -1.397417     1.624240
    5.963937    -3.086224     0.787079
    4.266237    -2.985369     1.155608
    5.397591    -1.894561     1.951474
    6.856826    -2.043338    -0.828590
    6.757591    -0.327472    -0.450060
    5.970714    -0.980707    -1.884590
    4.800522     0.767667    -1.567489
    3.050204     2.417616    -1.439054
E_Scan -1.3405771489200E+03 -4.2834603076184E+02  Phi  -160.0
Coordinate
   -3.133170    -2.528568    -0.293515
   -5.407353    -2.971014    -0.087261
   -0.938236     3.518593    -0.076595
    1.027292     2.476716     0.356996
    5.062189    -1.430457    -0.179141
   -0.862478     1.160402     0.105974
   -0.811726    -1.836586    -0.562937
   -2.246712    -1.473527    -0.325027
   -4.335790    -2.130456    -0.111926
   -2.786369    -0.243437    -0.146880
   -2.167996     1.086830    -0.121213
   -2.924559     2.239936    -0.323503
   -2.233420     3.433395    -0.284841
   -0.309937     2.360846     0.117263
    2.012569     1.469521     0.213384
    1.985130     0.299640     0.956545
    2.982829    -0.647132     0.830963
    4.068493    -0.460056    -0.033810
