  -3.01331   -2.51155    1.68781  -0.021346
  -2.29507   -2.51155    1.56116  -0.035850
  -2.65419   -1.88953    1.56116  -0.022601
  -2.65419   -3.13357    1.56116  -0.040555
  -3.01331   -3.86140    1.19650  -0.037305
  -2.33838   -3.68056    1.19650  -0.056970
  -1.84430   -3.18648    1.19650  -0.051166
  -3.01331   -4.33020    0.63781  -0.041058
  -2.31734   -4.19177    0.63781  -0.069415
  -1.72733   -3.79753    0.63781  -0.068703
  -1.33309   -3.20752    0.63781  -0.047693
  -2.65419   -4.54823   -0.04753  -0.069929
  -1.97926   -4.30257   -0.04753  -0.083535
  -1.42906   -3.84090   -0.04753  -0.072138
  -3.37243   -4.54823   -0.77685  -0.041274
  -2.65419   -4.54823   -0.77685  -0.081005
  -1.97926   -4.30257   -0.77685  -0.088621
  -3.70928   -4.19177   -1.46219  -0.048566
  -3.01331   -4.33020   -1.46219  -0.078764
  -2.31734   -4.19177   -1.46219  -0.088611
  -3.68824   -1.34254   -2.02088  -0.028756
  -4.18232   -3.18648   -2.02088  -0.054961
  -3.68824   -3.68056   -2.02088  -0.066849
  -3.01331   -3.86140   -2.02088  -0.081311
  -2.33838   -3.68056   -2.02088  -0.078752
  -2.29507   -2.51155   -2.38554  -0.046376
  -3.37243   -1.88953   -2.38554  -0.045816
  -3.73155   -2.51155   -2.38554  -0.056958
  -3.37243   -3.13357   -2.38554  -0.070317
  -2.65419   -3.13357   -2.38554  -0.069835
  -3.01331   -2.51155   -2.51219  -0.058924
  -4.50932   -3.08025    1.99111   0.024961
  -4.86844   -2.45823    1.99111   0.041619
  -4.86844   -3.70227    1.99111   0.035264
  -5.90249   -4.24926    1.62645   0.072807
  -5.22756   -4.43010    1.62645   0.058876
  -4.05855   -3.75518    1.62645   0.016613
  -6.81181   -4.40960    0.38242   0.060643
  -6.81181   -1.75090   -0.34690   0.024975
  -7.17093   -3.78758   -0.34690   0.021507
  -6.81181   -4.40960   -0.34690   0.028488
  -6.51354   -1.79427   -1.03224  -0.017712
  -6.90778   -2.38428   -1.03224  -0.023344
  -7.04621   -3.08025   -1.03224  -0.023185
  -6.90778   -3.77622   -1.03224  -0.016664
  -6.51354   -4.36623   -1.03224  -0.002067
  -5.90249   -1.91124   -1.59093  -0.039552
  -6.39657   -2.40532   -1.59093  -0.049758
