   1 0.56524 0.60045
   2 0.15946 -0.48956
   3 0.15946 -0.48956
   4 0.18402 -0.46764
   5 0.18402 -0.44332
   6 0.15946 -0.42980
   7 0.15946 -0.42980
   8 0.18403 -0.46764
   9 0.18403 -0.44332
  10 0.10169 0.35674
  11 0.10166 0.39102
  12 0.10163 0.37327
  13 0.09336 0.37258
  14 0.10164 0.35674
  15 0.10168 0.37327
  16 0.10164 0.39102
  17 0.09337 0.39102
  18 0.09336 0.37258
  19 0.00000 0.55359
  20 0.56514 0.50788
  21 0.52679 0.53461
  22 0.52678 0.53461
  23 0.52679 0.60371
  24 0.52678 0.58240
  25 0.56514 0.50788
  26 0.52675 0.60371
  27 0.55174 0.68081
  28 0.88380 1.48050
  29 0.88377 1.51087
  30 0.88377 1.48050
  31 0.90689 1.45560
  32 0.91474 1.54395
  33 0.88377 1.54861
  34 0.88377 1.54861
  35 0.91473 1.54395
