E_Scan -1.3405778857600E+03 -4.2771280421965E+02  Phi  -180.0
   -0.854508     1.174808     0.003396
   -0.842889    -1.751103    -0.732749
   -2.246701    -1.439910    -0.302651
   -4.271706    -2.150575     0.181036
   -2.784581    -0.227683    -0.022850
   -2.178694     1.105834    -0.035022
   -2.955032     2.263113    -0.078658
   -2.262479     3.456566    -0.079465
   -0.304207     2.376360    -0.012705
    1.990719     1.418587     0.017973
    2.027204     0.481921     1.044517
    2.994686    -0.502160     1.052684
    3.954503    -0.578165     0.046486
    6.274943    -1.257315    -0.254475
    4.490450    -2.865801    -0.489932
    3.921388     0.367959    -0.966941
    2.945983     1.355425    -0.980727
   -4.481855    -0.444167     0.406532
   -0.406386    -0.948354    -1.304631
   -0.854887    -2.663488    -1.315085
   -0.212528    -1.909260     0.135973
   -6.037997    -2.767405     0.963512
   -5.035640    -3.974990     0.372376
    1.391602     3.404409    -0.088665
   -4.025220     2.243172    -0.129695
   -2.793879     4.392472    -0.113036
    1.301873     0.535395     1.833775
    3.033676    -1.215216     1.856080
    6.951772    -2.036186     0.079411
    6.553795    -0.334267     0.237346
    6.421366    -1.133267    -1.329830
    5.186304    -3.654735    -0.226038
    4.433418    -2.810147    -1.579655
    3.512682    -3.138391    -0.114781
    4.647812     0.341331    -1.758354
    2.924591     2.075567    -1.779698
E_Scan -1.3405779773600E+03 -4.2722306036352E+02  Phi  -130.0
Coordinate
   -3.128020    -2.511073    -0.121912
   -5.342220    -2.990781     0.404681
   -0.941044     3.531569    -0.090548
    1.053686     2.456717    -0.017236
    4.903511    -1.662197     0.107435
   -0.860058     1.167171    -0.007127
   -0.871155    -1.769895    -0.699909
   -2.270618    -1.442974    -0.267355
   -4.297671    -2.133055     0.237078
   -2.799189    -0.223194    -0.002816
   -2.184908     1.105983    -0.037838
   -2.954010     2.267527    -0.094739
   -2.253991     3.456366    -0.116742
   -0.302465     2.364706    -0.043687
    1.987096     1.393686    -0.009552
    2.022849     0.472686     1.029235
    2.984330    -0.519854     1.044218
    3.938916    -0.610707     0.037740
    6.282076    -1.247567    -0.051579
    4.564414    -2.814686    -0.705669
    3.906095     0.320726    -0.990476
    2.936469     1.311475    -1.015048
   -4.495621    -0.422153     0.438308
   -0.431656    -0.977892    -1.284320
   -0.892533    -2.689718    -1.270149
   -0.237886    -1.921489     0.167870
   -6.063806    -2.726709     1.037585
   -5.072314    -3.949401     0.459298
    1.399495     3.380195    -0.148906
   -4.024548     2.253724    -0.140124
   -2.779591     4.395050    -0.161693
    1.299713     0.539674     1.819427
    3.019952    -1.228660     1.851224
    6.932674    -2.064629     0.240925
    6.486537    -0.404712     0.596231
    6.543660    -0.966475    -1.074126
    5.235445    -3.632725    -0.466804
    4.635703    -2.617575    -1.778087
    3.552759    -3.132185    -0.487532
    4.629883     0.275964    -1.784200
    2.912720     2.020204    -1.824060
E_Scan -1.3405778772100E+03 -4.2694824433455E+02  Phi  -120.0
Coordinate
   -3.159687    -2.503667    -0.072639
   -5.373061    -2.962143     0.475808
   -0.931961     3.523940    -0.127252
    1.056128     2.436832    -0.055390
    4.884747    -1.702064     0.084633
   -0.866089     1.160244    -0.016718
   -0.902232    -1.784870    -0.675733
   -2.296119    -1.443276    -0.236601
   -4.324028    -2.113563     0.290644
   -2.814423    -0.216917     0.017855
   -2.191565     1.107529    -0.037042
   -2.953253     2.273535    -0.102035
   -2.245560     3.457289    -0.143188
   -0.300961     2.353424    -0.071303
    1.982799     1.368150    -0.041878
    2.020189     0.459498     1.006569
    2.973639    -0.542295     1.023396
    3.920515    -0.647716     0.013021
    6.261526    -1.252227     0.137345
    4.672296    -2.753536    -0.891390
    3.887475     0.273601    -1.025156
    2.923618     1.268425    -1.055353
   -4.508882    -0.399149     0.473644
   -0.461282    -1.002198    -1.271507
   -0.934413    -2.710377    -1.236177
   -0.263798    -1.932293     0.188957
   -6.088098    -2.685908     1.110951
   -5.109197    -3.921889     0.539509
    1.406825     3.355944    -0.203778
   -4.024161     2.266436    -0.139501
   -2.765222     4.398896    -0.195371
    1.301655     0.538547     1.799807
    3.005993    -1.248188     1.832901
    6.900986    -2.093021     0.383630
    6.371180    -0.505681     0.913719
    6.619475    -0.824306    -0.801835
    5.324141    -3.590087    -0.663724
    4.872941    -2.438138    -1.918040
    3.647599    -3.098814    -0.838102
    4.607732     0.214931    -1.821667
    2.897213     1.968221    -1.871991
E_Scan -1.3405778588700E+03 -4.2688248092569E+02  Phi  -110.0
Coordinate
   -3.188141    -2.495466    -0.028940
   -5.398834    -2.935794     0.544600
   -0.925085     3.518007    -0.155991
    1.057171     2.419741    -0.093414
    4.867156    -1.736346     0.048073
   -0.872035     1.154982    -0.025703
   -0.932316    -1.795820    -0.659742
   -2.319720    -1.441830    -0.210086
   -4.346508    -2.095215     0.342207
   -2.828108    -0.210222     0.039078
   -2.198001     1.109952    -0.033012
   -2.953331     2.279873    -0.100892
   -2.239089     3.459030    -0.158985
   -0.300492     2.344189    -0.095905
    1.977846     1.345911    -0.079411
    2.020055     0.446008     0.976277
    2.965044    -0.563965     0.990238
    3.902392    -0.682493    -0.027374
    6.216747    -1.275913     0.311530
    4.799643    -2.684623    -1.046405
    3.867142     0.232557    -1.071124
    2.907645     1.231409    -1.101645
   -4.519240    -0.378220     0.512473
   -0.491493    -1.020044    -1.264528
   -0.975964    -2.724664    -1.213848
   -0.286984    -1.942364     0.199951
   -6.105992    -2.649794     1.184233
   -5.140057    -3.896525     0.614150
    1.411735     3.335373    -0.253683
   -4.024566     2.278901    -0.128227
   -2.753733     4.403213    -0.214368
    1.308239     0.534575     1.774540
    2.995601    -1.268449     1.801032
    6.850036    -2.129639     0.527463
    6.217800    -0.626452     1.177798
    6.659953    -0.730005    -0.524718
    5.425471    -3.539818    -0.815182
