-180.0 0.000000 -0.282794 3.611596 3.328802
-170.0 0.073826 -0.832134 4.448079 3.542119
-160.0 0.474604 -0.634580 5.297825 4.188641
-150.0 1.307880 0.102526 6.462768 5.257414
-140.0 2.589600 1.377168 7.869037 6.656605
-130.0 4.227249 2.998342 9.406937 8.178030
-120.0 6.007393 4.653128 10.883674 9.529409
-110.0 7.718147 6.111133 12.028054 10.421040
-100.0 9.296477 7.232524 12.719407 10.655454
-80.0 8.881744 10.565189 7.376293 9.059739
-70.0 6.993016 8.543525 5.947548 7.498058
-60.0 5.301953 6.530661 4.520249 5.748958
-50.0 3.843420 4.796150 3.142173 4.094902
-40.0 2.658814 3.560938 1.873727 2.775851
-30.0 1.781154 2.912410 0.785655 1.916910
-20.0 1.198468 2.688354 0.000000 1.489886
-10.0 0.831619 1.680834 0.497937 1.347152
-0.0 0.579480 0.592628 1.310181 1.323330
10.0 0.455333 -0.149796 1.952281 1.347152
20.0 0.582141 -0.490968 2.562995 1.489886
30.0 1.052352 -0.378535 3.347797 1.916910
40.0 1.894181 0.315040 4.354991 2.775851
50.0 3.094601 1.624403 5.565100 4.094902
60.0 4.612960 3.442286 6.919632 5.748958
70.0 6.378194 5.558613 8.317639 7.498058
80.0 8.277829 7.732700 9.604868 9.059739
100.0 8.385541 8.971009 10.069985 10.655454
110.0 6.641573 7.901721 9.160892 10.421040
120.0 4.993664 6.553925 7.969147 9.529409
130.0 3.503304 5.075328 6.606006 8.178030
140.0 2.235151 3.699204 5.192552 6.656605
150.0 1.234581 2.643650 3.848345 5.257414
160.0 0.536916 1.995247 2.730310 4.188641
170.0 0.148996 0.983749 2.707366 3.542119
180.0 0.000013 -0.281404 3.610218 3.328802
